Year,n_pubs,share,yoy_growth,cumulative,ema,roll_mean
2006,1,0.00026925148088314486,,1,1.0,1.0
2007,1,0.00026925148088314486,0.0,2,1.0,0.6666666666666666
2008,0,0.0,-1.0,2,0.5,0.3333333333333333
2009,0,0.0,,2,0.25,0.3333333333333333
2010,1,0.00026925148088314486,,3,0.625,0.3333333333333333
2011,0,0.0,-1.0,3,0.3125,0.3333333333333333
2012,0,0.0,,3,0.15625,0.0
2013,0,0.0,,3,0.078125,0.3333333333333333
2014,1,0.00026925148088314486,,4,0.5390625,0.6666666666666666
2015,1,0.00026925148088314486,0.0,5,0.76953125,0.6666666666666666
2016,0,0.0,-1.0,5,0.384765625,5.666666666666667
2017,16,0.004308023694130318,,21,8.1923828125,12.333333333333334
2018,21,0.005654281098546042,0.3125,42,14.59619140625,32.333333333333336
2019,60,0.01615508885298869,1.8571428571428572,102,37.298095703125,49.0
2020,66,0.017770597738287562,0.10000000000000009,168,51.6490478515625,78.66666666666667
2021,110,0.029617662897145933,0.6666666666666667,278,80.82452392578125,94.66666666666667
2022,108,0.029079159935379646,-0.018181818181818188,386,94.41226196289062,162.66666666666666
2023,270,0.07269789983844911,1.5,656,182.2061309814453,420.0
2024,882,0.23747980613893377,2.2666666666666666,1538,532.1030654907227,917.6666666666666
2025,1601,0.43107162089391493,0.8151927437641724,3139,1066.5515327453613,1019.3333333333334
2026,575,0.1548196015078083,-0.6408494690818238,3714,820.7757663726807,1088.0
