source,target,weight
computational linguistics,personnel training,5
computational linguistics,large-scales,7
augmented reality,object detection,4
curricula,educational robots,4
curricula,teaching,31
educational robots,teaching,9
machine-learning,teaching,8
emotion detection,emotion recognition,7
emotion recognition,psychology computing,7
adolescent,adult,17
adolescent,child,4
adolescent,female,17
adolescent,humans,13
adolescent,male,17
adolescent,psychology,7
adolescent,young adult,12
adult,child,5
adult,communication,9
adult,female,82
adult,humans,56
adult,interpersonal communication,12
adult,male,78
adult,psychology,15
adult,therapy,6
adult,trust,4
adult,young adult,28
child,female,4
child,male,4
communication,female,11
communication,humans,27
communication,interpersonal communication,30
communication,male,10
communication,therapy,4
female,humans,69
female,interpersonal communication,15
female,male,93
female,psychology,20
female,therapy,10
female,trust,5
female,young adult,28
humans,interpersonal communication,30
humans,male,63
humans,psychology,22
humans,therapy,18
humans,trust,4
humans,young adult,24
interpersonal communication,male,13
interpersonal communication,therapy,5
male,psychology,19
male,therapy,10
male,trust,5
male,young adult,28
psychology,therapy,6
psychology,young adult,8
behavior change,social media,4
diagnosis,female,8
diagnosis,humans,13
diagnosis,male,6
diagnosis,therapy,5
humans,patient education,5
e-learning,education computing,25
e-learning,teaching,25
education computing,teaching,36
case-studies,internet of things,4
e-learning,reinforcement learnings,4
interview,questionnaire,4
e-learning,machine-learning,15
machine-learning,users' satisfactions,4
diagnosis,procedures,5
electronic health record,electronic health records,6
electronic health record,female,6
electronic health record,humans,7
electronic health record,procedures,4
electronic health records,female,5
electronic health records,humans,5
electronic health records,procedures,4
female,procedures,24
female,simulation,5
female,usability,12
humans,procedures,43
humans,simulation,4
humans,usability,9
interpersonal communication,procedures,9
interpersonal communication,usability,4
procedures,therapy,5
education computing,search engines,4
education computing,students,51
linguistics,students,4
search engines,students,11
students,usability,6
personalizations,transparency,4
adult,procedures,19
adult,robotics,4
collaborative robots,multi-modal,4
humans,robotics,4
male,procedures,18
male,robotics,4
daily lives,education computing,4
daily lives,students,4
education computing,student perceptions,4
student perceptions,students,5
animation,e-learning,4
intelligent agents,semantics,5
embeddings,semantics,8
computation theory,tourism,4
computational linguistics,semantics,24
commerce platforms,e- commerces,19
commerce platforms,e-commerce,7
commerce platforms,electronic commerce,7
e- commerces,e-commerce,31
e- commerces,electronic commerce,36
e- commerces,knowledge management,7
e- commerces,semantics,7
e-commerce,electronic commerce,23
e-commerce,semantics,4
electronic commerce,knowledge management,6
electronic commerce,semantics,7
knowledge management,knowledge transfer,4
knowledge management,semantics,7
semantics,semantics understanding,6
diagnosis,mental health,6
knowledge management,model-based opc,4
optimisations,optimization,8
ethical aspects,personalization,6
ethical aspects,personalizations,7
personalization,personalizations,49
personalization,public relations,6
personalization,sales,12
personalizations,public relations,8
personalizations,sales,30
public relations,sales,32
health care,machine-learning,6
health care,medical computing,13
humans,telemedicine,10
cyber security,cybersecurity,10
google+,search engines,6
google+,students,4
consumer behavior,sales,14
adult,knowledge,7
adult,universities,6
