phrase,burst_score,prior_mean_per_year,recent_mean_per_year,count_total
rag,94.66666666666667,0.0,94.66666666666667,284
retrieval,50.54341340588682,4.416666666666667,296.0,941
multimodal,44.891464089360156,3.1666666666666665,199.0,635
vision,42.34608286113912,0.3333333333333333,78.66666666666667,240
gemini,40.0,0.0,40.0,120
alignment,37.517903062985965,0.16666666666666666,51.666666666666664,157
traffic,36.333333333333336,0.0,36.333333333333336,109
shape,36.01666683813796,0.5,71.0,219
agentic,32.666666666666664,0.0,32.666666666666664,98
align,32.61235340660619,0.3333333333333333,69.0,211
latency,31.936401464057646,0.25,58.666666666666664,179
retrieval rag,31.666666666666668,0.0,31.666666666666668,95
llama,30.0,0.0,30.0,90
hallucination,29.183975328655162,0.08333333333333333,37.333333333333336,113
gen,27.716022980501627,0.3333333333333333,45.333333333333336,140
predictive,27.703086813617738,0.4166666666666667,52.0,161
modal,26.9746164028846,1.3333333333333333,70.0,226
workflow,26.94779329813738,1.4166666666666667,92.0,293
bridge,26.640663837138085,0.75,63.666666666666664,200
actionable,26.57571233182111,0.25,38.333333333333336,118
functional,25.828099530777514,0.8333333333333334,58.0,184
adaptability,25.66298424120521,0.3333333333333333,42.0,130
adaptive,25.550063886828454,3.0833333333333335,145.0,472
struggle,25.133352537340112,0.16666666666666666,34.666666666666664,106
emphasize,25.06461597214907,1.1666666666666667,88.33333333333333,279
predictive analytic,25.0,0.0,25.0,75
loyalty,24.852172815107608,0.5,44.333333333333336,139
operational,24.7824611448043,1.0833333333333333,69.33333333333333,221
food,24.43116099762736,0.3333333333333333,40.0,124
adversarial,24.39829158471054,0.75,72.0,225
retrieval augmented,24.333333333333332,0.0,24.333333333333332,73
sem,24.222046637429678,0.08333333333333333,31.0,94
langchain,23.666666666666668,0.0,23.666666666666668,71
modality,23.585665187038042,0.4166666666666667,44.333333333333336,138
interactive graphic,23.433512269114214,0.16666666666666666,32.333333333333336,99
twin,23.17743007085589,0.08333333333333333,29.666666666666668,90
baseline,23.081217330377438,1.0,55.333333333333336,178
mitigate,23.06510045202471,0.3333333333333333,43.0,133
emotion recognition,22.83006211534166,0.25,36.666666666666664,113
driver,22.583426132260584,0.3333333333333333,37.0,115
productivity,22.324657224897845,1.0,50.666666666666664,164
layer,22.29161215991517,0.75,47.333333333333336,151
key,22.107267254952113,5.833333333333333,198.66666666666666,666
rely,22.06277446599416,1.3333333333333333,63.0,205
architecture,21.85772403129412,5.166666666666667,173.33333333333334,582
marketing,21.71519863682938,3.6666666666666665,121.0,407
safety,21.660147966172737,1.9166666666666667,92.33333333333333,300
structured,21.581764557425643,3.0,105.33333333333333,352
vr,21.57300891272697,1.75,106.0,339
travel,21.49907406454789,1.0,63.666666666666664,203
narrative,21.287490114306944,1.0833333333333333,70.33333333333333,224
output,21.24881197303818,1.8333333333333333,94.0,304
seamless,21.227966783497084,1.3333333333333333,60.666666666666664,198
dynamically,21.225678339419485,0.25,30.666666666666668,95
extraction,21.115336862490796,0.6666666666666666,46.666666666666664,148
strong,21.106576008946096,1.4166666666666667,66.0,215
structural,21.06404747995348,0.5833333333333334,52.0,163
secure,21.05554855863409,0.6666666666666666,45.0,143
emotional,21.027256893650787,7.75,232.66666666666666,791
copilot,21.0,0.0,21.0,63
urban,20.94932473284212,0.25,33.666666666666664,104
accurate,20.87601353598519,2.0,84.33333333333333,277
making,20.870973535135523,1.0833333333333333,62.333333333333336,200
translation,20.816677684628967,0.8333333333333334,64.0,202
mechanism,20.454399267926643,3.25,106.0,357
privacy,20.426135324739924,4.916666666666667,196.33333333333334,648
art,20.3721828513872,3.0,109.0,363
deepseek,20.333333333333332,0.0,20.333333333333332,61
xr,20.333333333333332,0.0,20.333333333333332,61
bug,20.304734512777976,0.08333333333333333,26.0,79
creativity,20.25430955042327,1.0833333333333333,64.66666666666667,207
personalization,20.205896545763654,3.9166666666666665,169.0,554
employ,20.194484599203324,4.0,143.66666666666666,479
pipeline,20.181623258588736,0.6666666666666666,47.333333333333336,150
element,20.14724925787028,1.75,71.33333333333333,235
recall,20.119779645104884,0.3333333333333333,33.0,103
prediction,20.110628383225436,2.1666666666666665,97.0,317
recognition,20.093110633569175,6.5,196.0,666
filtering,20.033831732662406,0.16666666666666666,27.666666666666668,85
clarity,20.0,0.0,20.0,60
transform,19.977568129398218,1.4166666666666667,97.66666666666667,310
cultural,19.96732443946351,3.75,137.0,456
graphic,19.892205961590776,1.4166666666666667,69.66666666666667,226
pattern,19.890490638743536,2.9166666666666665,112.66666666666667,373
relevance,19.80747546808388,1.3333333333333333,86.0,274
dual,19.782426229491083,0.08333333333333333,25.333333333333332,77
efficient,19.718859642858988,2.8333333333333335,115.33333333333333,380
infrastructure,19.668676216571793,0.5,39.0,123
thereby,19.626320317739697,0.8333333333333334,53.333333333333336,170
sustainable,19.616749558910858,0.9166666666666666,64.0,203
video,19.590553225806033,3.75,150.33333333333334,496
gesture,19.486528990898034,0.25,31.333333333333332,97
essential,19.426680663240315,2.3333333333333335,82.33333333333333,275
trust,19.41924085619735,7.416666666666667,238.0,803
marketplace,19.333333333333332,0.0,19.333333333333332,58
visual,19.006555028859108,5.333333333333333,174.66666666666666,588
achieve,18.916486462307613,4.25,143.33333333333334,481
psychology,18.802896331861874,0.3333333333333333,28.0,88
evolve,18.76514711162009,1.9166666666666667,72.33333333333333,240
standard,18.706614075060546,0.9166666666666666,55.0,176
engine,18.705982972885987,3.0833333333333335,107.66666666666667,360
creation,18.6882110008291,3.9166666666666665,149.0,494
retail,18.682652527597394,0.3333333333333333,30.666666666666668,96
booking,18.666666666666668,0.0,18.666666666666668,56
intent,18.64556609993299,3.4166666666666665,108.0,365
step,18.639429769006046,1.8333333333333333,61.333333333333336,206
gap,18.55579133817012,3.0,131.33333333333334,430
additionally,18.526244530515935,1.5833333333333333,96.66666666666667,309
transformation,18.495117631473672,1.6666666666666667,71.0,233
outperform,18.469448438662614,0.9166666666666666,46.0,149
static,18.444048159102298,0.4166666666666667,30.666666666666668,97
strategy,18.423557343479338,8.083333333333334,225.0,772
financial,18.40311786441661,1.75,68.33333333333333,226
capability,18.372921654397,5.75,196.33333333333334,658
cache,18.333333333333332,0.0,18.333333333333332,55
search,18.31371571408726,10.25,295.3333333333333,1009
robust,18.291584685145562,1.25,54.666666666666664,179
critical,18.22574979332025,3.9166666666666665,153.66666666666666,508
privacy concern,18.215501379630403,0.08333333333333333,23.333333333333332,71
chain,18.205925445435494,0.3333333333333333,38.666666666666664,120
contextual,18.07161276289591,2.5833333333333335,95.33333333333333,317
augmented,18.04297968060848,2.0833333333333335,70.33333333333333,236
evolution,18.039438150407488,1.0833333333333333,49.0,160
clinician,18.023733248953945,0.25,29.0,90
refine,18.0196097281443,0.3333333333333333,33.666666666666664,105
scalable,17.93171984677493,1.4166666666666667,65.33333333333333,213
simulation,17.779776600559362,1.9166666666666667,75.66666666666667,250
multilingual,17.706438338814444,0.5833333333333334,41.666666666666664,132
bridge gap,17.700607381712867,0.4166666666666667,35.0,110
modular,17.69319309634351,0.08333333333333333,22.666666666666668,69
path,17.691730970188107,0.5833333333333334,38.0,121
control,17.677074896913663,8.416666666666666,226.66666666666666,781
consumer,17.606140616951365,5.333333333333333,159.0,541
interpret,17.58855107875892,0.5833333333333334,33.333333333333336,107
accessibility,17.581376531783082,3.9166666666666665,138.0,461
historical,17.53145443060296,0.6666666666666666,43.333333333333336,138
synthesis,17.40813719707374,0.6666666666666666,42.0,134
career,17.36265416830742,0.16666666666666666,24.0,74
introduce,17.362533270551804,5.333333333333333,179.33333333333334,602
creative,17.26886015280447,2.75,95.33333333333333,319
frequency,17.2455254100899,0.3333333333333333,28.333333333333332,89
fashion,17.18784996784304,0.25,27.666666666666668,86
functionality,17.082171129747007,2.75,73.0,252
map,17.074167277658322,1.25,48.0,159
automate,17.03338869227274,4.666666666666667,136.66666666666666,466
solution,17.004378394505874,9.0,223.33333333333334,778
mllm,17.0,0.0,17.0,51
deployment,16.988565136555465,1.5833333333333333,65.33333333333333,215
responsible,16.97275832933991,0.5833333333333334,45.666666666666664,144
serve,16.96420159232058,2.0833333333333335,78.0,259
memory,16.957260906197636,2.75,89.66666666666667,302
complexity,16.95431413065253,1.4166666666666667,64.0,209
effectively,16.94812409720743,3.0,112.0,372
representation,16.89810034895439,1.75,67.0,222
contribute,16.883952234815577,3.5833333333333335,125.33333333333333,419
centric,16.86878441302453,1.8333333333333333,81.0,265
opc,16.806085041348577,0.25,24.333333333333332,76
core,16.761088632462812,1.1666666666666667,51.333333333333336,168
intuitive,16.702157310742404,1.0,55.666666666666664,179
advancement,16.68577575543638,2.25,114.33333333333333,370
embed,16.676773044808368,1.25,50.666666666666664,167
modern,16.64015218253686,1.4166666666666667,52.333333333333336,174
f1,16.634151196210606,0.16666666666666666,23.0,71
story,16.6039502550116,0.4166666666666667,31.333333333333332,99
cut,16.5734748677659,0.25,24.0,75
optimization,16.56450128352619,3.25,119.0,396
operation,16.52525683786852,2.0,73.33333333333333,244
assistance,16.435981288176286,3.0833333333333335,101.0,340
token,16.422256283024954,0.16666666666666666,25.666666666666668,79
pls,16.38742238812628,0.08333333333333333,21.0,64
electronic health,16.333333333333332,0.0,16.333333333333332,49
handle,16.207501100976685,1.75,64.33333333333333,214
customize,16.1760119167492,1.1666666666666667,41.0,137
designer,16.160503698757832,3.1666666666666665,90.33333333333333,309
condition,16.143846931904296,3.5833333333333335,98.66666666666667,339
anomaly,16.12626824648283,0.08333333333333333,20.666666666666668,63
presentation,16.126147695999364,0.9166666666666666,38.333333333333336,126
customer,16.124491174898044,28.666666666666668,622.6666666666666,2212
environment,16.108015819096106,10.25,259.3333333333333,901
shot,16.03745265804843,0.3333333333333333,30.0,94
discovery,15.977386094445125,0.5833333333333334,30.333333333333332,98
security,15.975884513873709,3.8333333333333335,142.66666666666666,474
exist,15.94206899568794,6.333333333333333,152.33333333333334,533
cross,15.941155079557726,1.9166666666666667,77.66666666666667,256
intelligent,15.928530876532838,12.666666666666666,315.3333333333333,1098
support,15.917218720636948,26.0,607.3333333333334,2134
superior,15.90564822411379,0.16666666666666666,22.0,68
reality vr,15.865114104839384,0.08333333333333333,20.333333333333332,62
f1 score,15.865114104839384,0.08333333333333333,20.333333333333332,62
comparative,15.82321338110409,1.5833333333333333,59.0,196
streamline,15.817169989547786,0.6666666666666666,47.0,149
moderate,15.783744285021736,0.6666666666666666,32.666666666666664,106
detection,15.781480864854728,5.0,148.66666666666666,506
transparency,15.759367887585144,1.8333333333333333,65.66666666666667,219
agency,15.751970130154898,0.5,31.333333333333332,100
underscore,15.746856267199298,0.75,55.666666666666664,176
query,15.73310587080813,7.25,256.0,855
resource allocation,15.666666666666666,0.0,15.666666666666666,47
chain thought,15.603959963195937,0.08333333333333333,20.0,61
ad,15.60309441865277,0.3333333333333333,25.666666666666668,81
threat,15.60309441865277,0.3333333333333333,25.666666666666668,81
setting,15.597545009969153,2.3333333333333335,71.33333333333333,242
involve,15.590553188104142,3.8333333333333335,97.33333333333333,338
maintenance,15.551496553157516,0.9166666666666666,37.0,122
limitation,15.545305032280492,3.4166666666666665,129.33333333333334,429
extend,15.535105775728898,1.8333333333333333,55.333333333333336,188
refinement,15.482699950751252,0.4166666666666667,30.666666666666668,97
error,15.480391985452032,2.3333333333333335,72.66666666666667,246
current,15.471813952494712,7.0,161.0,567
modeling,15.470916588153957,4.5,120.33333333333333,415
extract,15.459563148661156,1.9166666666666667,53.333333333333336,183
foster,15.445598046038645,1.9166666666666667,83.33333333333333,273
maintain,15.438437162545423,1.8333333333333333,59.0,199
construct,15.399770377664147,2.0,70.0,234
embedding,15.378649085458113,0.75,31.666666666666668,104
vector,15.300968740935362,0.6666666666666666,34.0,110
confirm,15.298231717906452,1.0,39.666666666666664,131
immersive,15.294220126782845,3.3333333333333335,121.66666666666667,405
advance,15.272138584858194,2.4166666666666665,96.66666666666667,319
technological,15.26275983460465,2.9166666666666665,83.66666666666667,286
structure,15.262717871431704,2.5,82.66666666666667,278
enhancement,15.259921870153773,1.5,64.0,210
importance,15.198655611691244,2.75,89.0,300
educational,15.194809502890102,6.5,201.0,681
specialized,15.192204957497482,0.4166666666666667,25.333333333333332,81
sql,15.170929654110124,0.25,28.0,87
improvement,15.143113804637894,4.833333333333333,139.66666666666666,477
allow,15.135665871597393,6.416666666666667,114.33333333333333,420
reality,15.123900242473534,10.666666666666666,304.0,1040
reasoning,15.119103367809558,3.1666666666666665,93.33333333333333,318
inference,15.07196674337244,1.0833333333333333,50.666666666666664,165
precision,15.027979184891187,1.25,41.666666666666664,140
cue,15.006094685070066,1.4166666666666667,47.333333333333336,159
youtube,15.0,0.0,15.0,45
expert,14.989930050226834,4.0,112.0,384
continue,14.941995728638299,1.5833333333333333,52.333333333333336,176
commerce,14.883806381716145,9.25,233.66666666666666,812
value,14.768278324107863,6.0,147.66666666666666,515
deliver,14.756047926171066,3.6666666666666665,86.66666666666667,304
domain specific,14.718123943965596,0.75,40.333333333333336,130
responsiveness,14.712593479104463,0.25,21.333333333333332,67
cold,14.70489614885241,0.16666666666666666,23.0,71
intelligent agent,14.688558938212687,2.3333333333333335,52.666666666666664,186
combine,14.683852595621836,4.333333333333333,135.0,457
continuance intention,14.666666666666666,0.0,14.666666666666666,44
harness,14.634748607516963,0.4166666666666667,27.666666666666668,88
powerful,14.564740356348391,0.6666666666666666,31.333333333333332,102
navigation,14.518380736437067,1.5833333333333333,53.333333333333336,179
balance,14.517246457248728,0.8333333333333334,39.666666666666664,129
emotionally,14.498618858303132,0.3333333333333333,21.666666666666668,69
