Year,0,1,2,3,4,5,6,7,8,9
2006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2017,0.3125,0.125,0.0625,0.125,0.0,0.0625,0.0,0.0625,0.25,0.0
2018,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0,0.0,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.047619047619047616
2019,0.2,0.13333333333333333,0.11666666666666667,0.05,0.1,0.06666666666666667,0.06666666666666667,0.11666666666666667,0.15,0.0
2020,0.18181818181818182,0.16666666666666666,0.06060606060606061,0.10606060606060606,0.045454545454545456,0.045454545454545456,0.06060606060606061,0.13636363636363635,0.19696969696969696,0.0
2021,0.2636363636363636,0.12727272727272726,0.20909090909090908,0.08181818181818182,0.07272727272727272,0.01818181818181818,0.05454545454545454,0.045454545454545456,0.12727272727272726,0.0
2022,0.21296296296296297,0.21296296296296297,0.09259259259259259,0.06481481481481481,0.10185185185185185,0.027777777777777776,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.037037037037037035
2023,0.25925925925925924,0.13333333333333333,0.05185185185185185,0.15555555555555556,0.06666666666666667,0.037037037037037035,0.06666666666666667,0.03333333333333333,0.14074074074074075,0.05555555555555555
2024,0.2653061224489796,0.08276643990929705,0.09863945578231292,0.11678004535147392,0.1054421768707483,0.035147392290249435,0.09297052154195011,0.05782312925170068,0.10884353741496598,0.036281179138321996
2025,0.2704559650218613,0.07370393504059962,0.09494066208619613,0.1080574640849469,0.12492192379762648,0.02560899437851343,0.11055590256089944,0.05059337913803873,0.11805121798875702,0.0231105559025609
2026,0.28695652173913044,0.07304347826086957,0.06608695652173913,0.08869565217391304,0.09217391304347826,0.02608695652173913,0.10086956521739131,0.08521739130434783,0.1565217391304348,0.02434782608695652
