Year,0,1,2,3,4,5,6,7,8,9,10,11
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2017,0.0625,0.0,0.125,0.125,0.0625,0.0,0.125,0.0625,0.0,0.1875,0.1875,0.0625
2018,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.0,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.0,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523
2019,0.03333333333333333,0.15,0.1,0.1,0.05,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.08333333333333333,0.16666666666666666,0.15,0.03333333333333333
2020,0.07575757575757576,0.09090909090909091,0.045454545454545456,0.15151515151515152,0.06060606060606061,0.06060606060606061,0.07575757575757576,0.030303030303030304,0.0,0.18181818181818182,0.18181818181818182,0.045454545454545456
2021,0.09090909090909091,0.18181818181818182,0.17272727272727273,0.13636363636363635,0.08181818181818182,0.03636363636363636,0.045454545454545456,0.01818181818181818,0.0,0.07272727272727272,0.14545454545454545,0.01818181818181818
2022,0.06481481481481481,0.09259259259259259,0.08333333333333333,0.19444444444444445,0.06481481481481481,0.05555555555555555,0.10185185185185185,0.018518518518518517,0.027777777777777776,0.10185185185185185,0.12962962962962962,0.06481481481481481
2023,0.06666666666666667,0.14074074074074075,0.044444444444444446,0.1111111111111111,0.12222222222222222,0.04814814814814815,0.14814814814814814,0.03333333333333333,0.025925925925925925,0.040740740740740744,0.14444444444444443,0.07407407407407407
2024,0.07142857142857142,0.11791383219954649,0.08956916099773243,0.06235827664399093,0.09750566893424037,0.05895691609977324,0.20975056689342403,0.031746031746031744,0.06575963718820861,0.049886621315192746,0.09297052154195011,0.05215419501133787
2025,0.051842598376014994,0.10555902560899438,0.07807620237351655,0.0655840099937539,0.07995003123048094,0.06995627732667083,0.24547158026233604,0.024984384759525295,0.0637101811367895,0.05933791380387258,0.11805121798875702,0.037476577139287946
2026,0.04521739130434783,0.12,0.06260869565217392,0.059130434782608696,0.06260869565217392,0.06608695652173913,0.22782608695652173,0.02608695652173913,0.050434782608695654,0.09043478260869565,0.15304347826086956,0.036521739130434785
